CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
888787108,TOST,Toast Inc,1115475,101291,25.18M,2.29M,+10%,0.17%
W2R45B104,BICO.ST,BICO Group AB,1169644,584003,4.23M,2.11M,+99.7%,0.03%
57667T100,MTLS,Materialise NV,1762504,240785,15.23M,2.08M,+15.8%,0.1%
74765K105,QSI,Quantum-Si Inc,12754531,1055740,22.83M,1.89M,+9%,0.15%
770700102,HOOD,Robinhood Markets Inc,31919788,185475,318.56M,1.85M,+0.6%,2.1%
03945R102,ACHR,Archer Aviation Inc,9164717,361597,37.76M,1.49M,+4.1%,0.25%
88554D205,DDD,3D Systems Corp,3765703,139036,37.39M,1.38M,+3.8%,0.25%
65345M108,NXDR,Nextdoor Holdings Inc,6620252,386937,21.58M,1.26M,+6.2%,0.14%
M70700105,NNOX,Nano-X Imaging Ltd,327384,71842,5.07M,1.11M,+28.1%,0.03%
46185L103,,Invitae Corp,32262934,931593,36.46M,1.05M,+3%,0.24%
